"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2016,18:05,52.18,52.90,52.18,52.69,2790,1543
01/03/2016,18:10,52.70,52.70,52.57,52.63,263,372
01/03/2016,18:15,52.63,52.63,52.56,52.59,204,162
01/03/2016,18:20,52.58,52.65,52.50,52.57,253,258
01/03/2016,18:25,52.55,52.57,52.50,52.52,70,130
01/03/2016,18:30,52.52,52.58,52.50,52.51,124,240
01/03/2016,18:35,52.52,52.52,52.41,52.41,136,229
01/03/2016,18:40,52.41,52.45,52.40,52.44,114,77
01/03/2016,18:45,52.45,52.45,52.40,52.42,55,85
01/03/2016,18:50,52.42,52.43,52.36,52.37,128,173
01/03/2016,18:55,52.38,52.49,52.37,52.49,240,49
01/03/2016,19:00,52.49,52.56,52.48,52.52,162,113
01/03/2016,19:05,52.52,52.53,52.44,52.50,84,88
01/03/2016,19:10,52.49,52.51,52.46,52.48,77,98
01/03/2016,19:15,52.48,52.67,52.48,52.66,424,124
01/03/2016,19:20,52.66,52.66,52.56,52.57,116,161
01/03/2016,19:25,52.56,52.63,52.56,52.63,149,27
01/03/2016,19:30,52.62,52.65,52.60,52.63,91,75
01/03/2016,19:35,52.63,52.64,52.60,52.61,65,249
01/03/2016,19:40,52.61,52.61,52.57,52.58,50,86
01/03/2016,19:45,52.58,52.58,52.53,52.54,70,100
01/03/2016,19:50,52.53,52.57,52.53,52.54,73,52
01/03/2016,19:55,52.55,52.55,52.52,52.53,57,92
01/03/2016,20:00,52.53,52.54,52.51,52.54,60,85
01/03/2016,20:05,52.54,52.54,52.50,52.50,47,172
01/03/2016,20:10,52.49,52.50,52.42,52.47,120,327
01/03/2016,20:15,52.47,52.47,52.41,52.41,54,187
01/03/2016,20:20,52.41,52.44,52.40,52.41,148,142
01/03/2016,20:25,52.41,52.46,52.39,52.43,124,108
01/03/2016,20:30,52.43,52.47,52.42,52.43,75,111
01/03/2016,20:35,52.43,52.45,52.40,52.40,35,122
01/03/2016,20:40,52.40,52.40,52.38,52.39,56,133
01/03/2016,20:45,52.39,52.39,52.37,52.38,60,35
01/03/2016,20:50,52.37,52.37,52.26,52.31,247,605
01/03/2016,20:55,52.31,52.33,52.29,52.30,122,110
01/03/2016,21:00,52.30,52.31,52.27,52.30,175,153
01/03/2016,21:05,52.30,52.30,52.21,52.21,59,266
01/03/2016,21:10,52.22,52.24,52.11,52.19,315,593
01/03/2016,21:15,52.18,52.20,52.08,52.11,182,363
01/03/2016,21:20,52.10,52.18,52.05,52.17,265,212
01/03/2016,21:25,52.16,52.18,52.10,52.11,78,147
01/03/2016,21:30,52.11,52.18,52.09,52.11,195,150
01/03/2016,21:35,52.11,52.18,52.10,52.16,158,44
01/03/2016,21:40,52.17,52.22,52.14,52.21,214,143
01/03/2016,21:45,52.21,52.26,52.20,52.23,249,267
01/03/2016,21:50,52.23,52.27,52.22,52.26,102,103
01/03/2016,21:55,52.25,52.26,52.22,52.24,37,120
01/03/2016,22:00,52.23,52.27,52.21,52.26,131,68
01/03/2016,22:05,52.25,52.28,52.23,52.28,142,96
01/03/2016,22:10,52.27,52.43,52.27,52.35,550,232
01/03/2016,22:15,52.35,52.36,52.32,52.34,101,154
01/03/2016,22:20,52.35,52.38,52.32,52.37,186,133
01/03/2016,22:25,52.37,52.46,52.34,52.45,199,58
01/03/2016,22:30,52.45,52.46,52.38,52.40,103,121
01/03/2016,22:35,52.40,52.41,52.37,52.37,23,48
01/03/2016,22:40,52.38,52.40,52.34,52.36,110,94
01/03/2016,22:45,52.36,52.39,52.32,52.37,119,88
01/03/2016,22:50,52.36,52.41,52.35,52.41,97,19
01/03/2016,22:55,52.40,52.40,52.39,52.39,11,41
01/03/2016,23:00,52.39,52.40,52.37,52.40,37,25
01/03/2016,23:05,52.40,52.40,52.38,52.40,29,32
01/03/2016,23:10,52.41,52.46,52.41,52.45,140,89
01/03/2016,23:15,52.44,52.44,52.40,52.41,38,81
01/03/2016,23:20,52.41,52.42,52.34,52.36,87,141
01/03/2016,23:25,52.36,52.38,52.36,52.36,64,39
01/03/2016,23:30,52.36,52.36,52.29,52.30,111,204
01/03/2016,23:35,52.30,52.35,52.30,52.34,89,48
01/03/2016,23:40,52.35,52.37,52.33,52.34,53,54
01/03/2016,23:45,52.34,52.37,52.34,52.36,51,13
01/03/2016,23:50,52.36,52.41,52.35,52.40,167,99
01/03/2016,23:55,52.39,52.43,52.39,52.41,105,68
01/04/2016,00:00,52.42,52.42,52.38,52.39,33,53
01/04/2016,00:05,52.39,52.41,52.37,52.41,43,39
01/04/2016,00:10,52.42,52.42,52.39,52.40,14,42
01/04/2016,00:15,52.39,52.40,52.37,52.39,22,48
01/04/2016,00:20,52.39,52.40,52.39,52.39,21,24
