"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2016,17:05,2026.75,2031.50,2026.50,2031.25,2760,1365
01/03/2016,17:10,2030.75,2032.50,2030.50,2030.75,636,804
01/03/2016,17:15,2031.00,2031.25,2029.75,2030.00,334,453
01/03/2016,17:20,2030.00,2031.25,2029.75,2030.75,685,210
01/03/2016,17:25,2030.75,2031.00,2030.50,2030.75,67,153
01/03/2016,17:30,2030.75,2031.00,2030.25,2030.75,78,160
01/03/2016,17:35,2030.75,2030.75,2029.50,2029.75,133,330
01/03/2016,17:40,2030.00,2030.00,2028.25,2028.50,111,346
01/03/2016,17:45,2028.50,2029.00,2028.25,2028.25,475,521
01/03/2016,17:50,2028.25,2028.75,2028.00,2028.25,294,380
01/03/2016,17:55,2028.25,2029.25,2028.25,2029.25,299,47
01/03/2016,18:00,2029.25,2029.50,2029.00,2029.25,108,166
01/03/2016,18:05,2029.50,2030.25,2029.25,2030.00,543,302
01/03/2016,18:10,2030.00,2030.50,2029.00,2029.25,166,370
01/03/2016,18:15,2029.50,2030.50,2029.50,2030.25,294,137
01/03/2016,18:20,2030.25,2030.50,2030.00,2030.25,137,80
01/03/2016,18:25,2030.25,2030.50,2030.00,2030.50,124,162
01/03/2016,18:30,2030.50,2031.00,2030.25,2030.75,376,78
01/03/2016,18:35,2030.75,2031.25,2030.75,2031.25,206,326
01/03/2016,18:40,2031.25,2031.50,2030.75,2030.75,206,361
01/03/2016,18:45,2030.75,2031.50,2030.75,2031.00,126,176
01/03/2016,18:50,2031.25,2031.50,2030.75,2031.25,217,266
01/03/2016,18:55,2031.25,2031.50,2031.00,2031.25,245,93
01/03/2016,19:00,2031.00,2031.50,2031.00,2031.25,99,114
01/03/2016,19:05,2031.50,2032.00,2031.25,2032.00,310,249
01/03/2016,19:10,2031.75,2032.00,2031.50,2031.50,105,257
01/03/2016,19:15,2031.50,2031.50,2030.75,2031.00,100,216
01/03/2016,19:20,2030.75,2031.00,2029.50,2030.25,255,905
01/03/2016,19:25,2030.25,2030.25,2029.25,2029.75,383,719
01/03/2016,19:30,2029.50,2030.00,2029.00,2029.25,116,283
01/03/2016,19:35,2029.25,2030.75,2029.25,2029.50,449,429
01/03/2016,19:40,2029.50,2029.50,2027.50,2027.75,230,1265
01/03/2016,19:45,2027.75,2028.50,2027.50,2028.00,131,224
01/03/2016,19:50,2028.00,2028.00,2026.50,2026.75,582,1229
01/03/2016,19:55,2027.00,2027.00,2025.50,2026.25,575,968
01/03/2016,20:00,2026.25,2026.50,2025.25,2025.75,409,857
01/03/2016,20:05,2025.75,2025.75,2022.25,2023.00,598,1851
01/03/2016,20:10,2022.75,2023.50,2022.50,2022.50,390,766
01/03/2016,20:15,2022.50,2022.75,2021.50,2021.50,613,922
01/03/2016,20:20,2021.50,2021.50,2019.50,2020.75,1116,1551
01/03/2016,20:25,2021.00,2021.00,2018.00,2018.75,915,1734
01/03/2016,20:30,2018.75,2019.25,2014.75,2015.75,1152,1808
01/03/2016,20:35,2015.50,2017.50,2015.50,2016.50,1055,689
01/03/2016,20:40,2016.50,2016.75,2014.75,2016.25,597,791
01/03/2016,20:45,2016.25,2018.75,2015.25,2018.75,1197,643
01/03/2016,20:50,2018.75,2018.75,2017.00,2018.25,646,851
01/03/2016,20:55,2018.25,2019.00,2017.50,2018.75,434,262
01/03/2016,21:00,2018.75,2018.75,2018.00,2018.25,124,272
01/03/2016,21:05,2018.50,2018.75,2017.50,2018.75,277,235
01/03/2016,21:10,2018.75,2020.25,2018.75,2019.25,979,435
01/03/2016,21:15,2019.50,2019.50,2018.25,2018.25,173,565
01/03/2016,21:20,2018.50,2019.25,2017.75,2019.25,393,199
01/03/2016,21:25,2019.00,2020.50,2019.00,2020.25,318,198
01/03/2016,21:30,2020.25,2021.00,2019.50,2021.00,490,305
01/03/2016,21:35,2020.75,2021.75,2019.50,2020.25,841,482
01/03/2016,21:40,2020.50,2020.50,2018.25,2018.50,336,804
01/03/2016,21:45,2018.50,2018.50,2016.00,2016.75,460,974
01/03/2016,21:50,2016.75,2017.75,2016.50,2017.75,241,154
01/03/2016,21:55,2017.75,2018.00,2016.50,2016.75,188,291
01/03/2016,22:00,2017.00,2018.00,2016.50,2017.25,301,143
01/03/2016,22:05,2017.25,2017.50,2016.75,2017.50,80,189
01/03/2016,22:10,2017.50,2018.00,2017.25,2017.25,110,234
01/03/2016,22:15,2017.25,2017.25,2015.75,2016.00,163,358
01/03/2016,22:20,2016.00,2016.00,2014.75,2016.00,287,404
01/03/2016,22:25,2016.00,2016.50,2015.00,2015.50,407,415
01/03/2016,22:30,2015.50,2015.50,2009.00,2009.00,1785,3320
01/03/2016,22:35,2009.25,2011.25,2009.25,2011.25,964,312
01/03/2016,22:40,2011.25,2011.50,2010.00,2010.25,409,703
01/03/2016,22:45,2010.25,2011.75,2010.25,2011.25,366,224
01/03/2016,22:50,2011.25,2011.50,2010.00,2010.25,325,496
01/03/2016,22:55,2010.25,2010.75,2009.50,2009.50,190,419
01/03/2016,23:00,2009.75,2009.75,2006.75,2007.00,665,1395
01/03/2016,23:05,2007.25,2008.75,2006.75,2008.50,969,440
01/03/2016,23:10,2008.50,2009.25,2008.25,2008.75,640,463
01/03/2016,23:15,2008.75,2008.75,2007.50,2008.50,476,514
01/03/2016,23:20,2008.75,2009.00,2008.25,2008.25,322,173
01/03/2016,23:25,2008.50,2009.75,2008.25,2009.25,372,142
01/03/2016,23:30,2009.50,2010.75,2009.25,2010.50,414,282
01/03/2016,23:35,2010.50,2010.75,2008.25,2008.75,515,896
01/03/2016,23:40,2008.50,2009.00,2005.75,2006.00,542,1253
01/03/2016,23:45,2006.25,2007.50,2006.00,2007.25,538,167
01/03/2016,23:50,2007.25,2008.25,2007.25,2007.75,410,442
01/03/2016,23:55,2007.75,2010.00,2007.25,2009.00,499,307
01/04/2016,00:00,2009.25,2010.00,2008.75,2009.25,319,236
01/04/2016,00:05,2009.50,2010.75,2008.75,2009.00,470,500
01/04/2016,00:10,2008.75,2009.00,2007.25,2008.25,144,514
01/04/2016,00:15,2008.25,2009.00,2006.00,2006.00,361,486
01/04/2016,00:20,2006.25,2006.25,2004.25,2005.25,665,1242
01/04/2016,00:25,2005.25,2005.50,2004.75,2005.25,243,220
01/04/2016,00:30,2005.50,2007.00,2005.25,2007.00,539,224
01/04/2016,00:35,2006.75,2007.50,2006.50,2007.50,459,283
01/04/2016,00:40,2007.50,2007.50,2006.00,2006.00,203,406
01/04/2016,00:45,2006.00,2006.75,2006.00,2006.50,108,137
01/04/2016,00:50,2006.25,2006.75,2006.00,2006.25,41,96
01/04/2016,00:55,2006.25,2008.25,2006.25,2007.50,382,253
01/04/2016,01:00,2007.75,2008.00,2006.25,2006.50,236,394
01/04/2016,01:05,2006.50,2007.00,2005.50,2005.75,643,838
01/04/2016,01:10,2005.75,2007.75,2004.00,2004.00,968,1345
01/04/2016,01:15,2004.25,2004.50,2002.00,2002.25,1207,1587
01/04/2016,01:20,2002.50,2003.50,2002.00,2002.75,773,732
01/04/2016,01:25,2002.75,2004.50,2002.50,2004.00,965,362
01/04/2016,01:30,2003.75,2004.75,2003.75,2004.25,275,247
01/04/2016,01:35,2004.25,2004.25,2002.00,2002.00,534,996
01/04/2016,01:40,2002.25,2002.25,1999.75,1999.75,809,1525
01/04/2016,01:45,1999.75,2001.25,1999.25,2000.75,842,661
01/04/2016,01:50,2000.75,2000.75,1998.25,1999.25,788,1085
01/04/2016,01:55,1999.25,2002.25,1999.25,2001.50,1121,507
01/04/2016,02:00,2001.50,2002.50,2001.25,2002.00,755,332
01/04/2016,02:05,2002.00,2004.25,1998.75,1999.00,3153,3191
01/04/2016,02:10,1999.00,1999.00,1993.75,1995.25,2708,4545
01/04/2016,02:15,1995.00,1995.00,1993.00,1994.25,2554,2253
01/04/2016,02:20,1994.25,1994.25,1990.50,1991.00,2618,4450
01/04/2016,02:25,1991.25,1993.00,1990.00,1992.50,2370,2153
01/04/2016,02:30,1992.50,1993.75,1991.25,1993.00,1258,1179
01/04/2016,02:35,1992.75,1994.00,1990.25,1993.50,2418,1792
01/04/2016,02:40,1993.50,1996.50,1993.50,1996.00,3348,1503
01/04/2016,02:45,1996.25,1996.50,1995.00,1996.25,1002,800
01/04/2016,02:50,1996.00,1996.50,1993.75,1995.50,1172,1159
01/04/2016,02:55,1995.50,1995.50,1992.50,1992.75,576,1082
