"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2016,18:05,1141.1,1145.4,1141.1,1143.9,592,274
01/03/2016,18:10,1143.6,1144.7,1143.3,1143.9,161,142
01/03/2016,18:15,1143.8,1144.1,1143.1,1143.1,92,94
01/03/2016,18:20,1143.0,1143.1,1141.8,1142.3,130,231
01/03/2016,18:25,1142.1,1142.2,1141.6,1142.0,54,68
01/03/2016,18:30,1141.9,1142.1,1141.5,1142.0,38,61
01/03/2016,18:35,1141.8,1141.9,1141.2,1141.4,26,111
01/03/2016,18:40,1141.3,1141.5,1140.6,1140.6,44,123
01/03/2016,18:45,1140.6,1141.8,1140.6,1141.3,145,76
01/03/2016,18:50,1141.3,1141.6,1141.2,1141.2,61,30
01/03/2016,18:55,1141.3,1141.4,1141.2,1141.4,19,9
01/03/2016,19:00,1141.3,1142.0,1141.3,1141.9,81,32
01/03/2016,19:05,1141.9,1142.2,1141.6,1141.9,99,95
01/03/2016,19:10,1141.9,1142.4,1141.8,1142.3,81,55
01/03/2016,19:15,1142.2,1142.3,1142.0,1142.2,27,48
01/03/2016,19:20,1142.2,1142.6,1142.0,1142.6,92,72
01/03/2016,19:25,1142.6,1143.1,1142.5,1143.1,103,80
01/03/2016,19:30,1143.0,1143.3,1143.0,1143.2,63,60
01/03/2016,19:35,1143.3,1143.3,1142.8,1142.9,32,74
01/03/2016,19:40,1143.0,1143.1,1142.4,1142.7,41,89
01/03/2016,19:45,1142.7,1143.0,1142.6,1142.7,44,21
01/03/2016,19:50,1142.8,1143.0,1142.7,1142.9,29,17
01/03/2016,19:55,1142.9,1143.0,1142.8,1143.0,45,53
01/03/2016,20:00,1143.0,1143.7,1143.0,1143.4,123,79
01/03/2016,20:05,1143.5,1144.3,1143.3,1143.8,273,252
01/03/2016,20:10,1143.9,1144.0,1142.9,1143.4,247,336
01/03/2016,20:15,1143.3,1143.8,1143.0,1143.1,158,127
01/03/2016,20:20,1143.0,1143.2,1141.2,1141.4,244,659
01/03/2016,20:25,1141.4,1141.8,1141.1,1141.4,223,177
01/03/2016,20:30,1141.4,1141.9,1141.2,1141.8,180,81
01/03/2016,20:35,1141.9,1142.0,1141.4,1141.7,150,150
01/03/2016,20:40,1141.7,1142.2,1141.6,1141.9,146,268
01/03/2016,20:45,1142.0,1142.0,1141.4,1141.5,75,158
01/03/2016,20:50,1141.5,1141.7,1141.1,1141.5,97,118
01/03/2016,20:55,1141.6,1142.4,1141.5,1142.2,177,95
01/03/2016,21:00,1142.3,1142.4,1142.2,1142.3,64,52
01/03/2016,21:05,1142.2,1142.7,1142.1,1142.5,214,227
01/03/2016,21:10,1142.4,1142.8,1142.4,1142.4,42,90
01/03/2016,21:15,1142.5,1142.6,1142.1,1142.1,98,150
01/03/2016,21:20,1142.1,1142.5,1142.1,1142.5,65,126
01/03/2016,21:25,1142.5,1143.0,1142.4,1142.9,133,119
01/03/2016,21:30,1142.9,1143.4,1142.8,1143.2,174,95
01/03/2016,21:35,1143.2,1143.2,1142.4,1142.6,149,140
01/03/2016,21:40,1142.6,1142.9,1142.4,1142.6,196,166
01/03/2016,21:45,1142.5,1143.1,1142.4,1143.0,130,127
01/03/2016,21:50,1143.0,1143.3,1142.5,1142.5,93,141
01/03/2016,21:55,1142.6,1143.1,1142.5,1142.7,134,120
01/03/2016,22:00,1142.8,1143.2,1142.8,1143.1,127,70
01/03/2016,22:05,1143.1,1143.4,1142.8,1142.8,67,89
01/03/2016,22:10,1142.7,1143.0,1142.6,1142.7,110,119
01/03/2016,22:15,1142.7,1142.9,1142.5,1142.8,71,38
01/03/2016,22:20,1142.8,1143.1,1142.7,1142.9,63,52
01/03/2016,22:25,1142.9,1143.5,1142.9,1143.4,157,66
01/03/2016,22:30,1143.4,1143.4,1142.8,1142.9,38,127
01/03/2016,22:35,1143.0,1143.0,1142.8,1143.0,24,37
01/03/2016,22:40,1143.0,1143.1,1142.7,1142.8,19,34
01/03/2016,22:45,1142.8,1142.9,1142.7,1142.8,23,9
01/03/2016,22:50,1142.8,1142.8,1142.6,1142.6,11,47
01/03/2016,22:55,1142.6,1142.8,1142.5,1142.7,17,22
01/03/2016,23:00,1142.8,1142.8,1142.5,1142.5,12,27
01/03/2016,23:05,1142.5,1142.6,1142.3,1142.4,34,42
01/03/2016,23:10,1142.4,1142.7,1142.2,1142.6,49,57
01/03/2016,23:15,1142.6,1142.8,1142.5,1142.5,28,60
01/03/2016,23:20,1142.5,1143.1,1142.3,1142.9,125,68
01/03/2016,23:25,1143.0,1143.1,1142.9,1142.9,13,23
01/03/2016,23:30,1142.9,1143.0,1142.6,1142.8,32,52
01/03/2016,23:35,1142.8,1143.1,1142.7,1143.1,29,29
01/03/2016,23:40,1143.1,1143.2,1142.9,1143.2,37,24
01/03/2016,23:45,1143.2,1143.4,1143.1,1143.2,57,28
01/03/2016,23:50,1143.3,1143.6,1143.3,1143.5,85,44
01/03/2016,23:55,1143.4,1143.7,1143.3,1143.6,39,37
01/04/2016,00:00,1143.6,1144.1,1143.6,1144.1,178,58
01/04/2016,00:05,1144.2,1144.2,1143.8,1144.0,62,94
01/04/2016,00:10,1144.0,1144.1,1143.9,1144.0,28,26
01/04/2016,00:15,1144.1,1144.6,1144.1,1144.5,121,49
01/04/2016,00:20,1144.4,1145.0,1144.4,1144.9,103,41
01/04/2016,00:25,1145.0,1145.4,1145.0,1145.2,163,110
01/04/2016,00:30,1145.2,1145.4,1145.0,1145.1,48,111
01/04/2016,00:35,1145.0,1145.1,1144.4,1144.9,149,337
01/04/2016,00:40,1144.9,1146.0,1144.8,1146.0,471,149
01/04/2016,00:45,1146.1,1146.9,1146.1,1146.5,661,611
01/04/2016,00:50,1146.5,1147.5,1146.3,1147.5,467,209
01/04/2016,00:55,1147.5,1147.5,1147.0,1147.2,160,302
01/04/2016,01:00,1147.2,1147.8,1147.2,1147.5,408,177
01/04/2016,01:05,1147.5,1148.0,1147.5,1147.9,526,195
01/04/2016,01:10,1147.8,1147.8,1147.4,1147.5,111,268
01/04/2016,01:15,1147.5,1147.5,1146.8,1146.9,198,390
01/04/2016,01:20,1146.8,1147.3,1146.7,1147.2,237,129
01/04/2016,01:25,1147.1,1148.0,1147.1,1147.8,255,145
01/04/2016,01:30,1147.9,1148.4,1147.9,1148.4,334,199
01/04/2016,01:35,1148.3,1148.4,1148.0,1148.3,142,241
01/04/2016,01:40,1148.3,1148.9,1148.3,1148.6,425,158
01/04/2016,01:45,1148.7,1148.8,1148.4,1148.4,32,120
01/04/2016,01:50,1148.5,1148.6,1148.3,1148.3,172,95
01/04/2016,01:55,1148.4,1148.5,1148.1,1148.3,63,83
01/04/2016,02:00,1148.3,1148.9,1148.1,1148.6,217,148
01/04/2016,02:05,1148.6,1148.8,1148.3,1148.4,97,245
01/04/2016,02:10,1148.4,1148.4,1147.9,1148.1,112,228
01/04/2016,02:15,1148.0,1148.6,1147.9,1148.3,127,142
01/04/2016,02:20,1148.3,1148.4,1147.8,1147.8,60,236
01/04/2016,02:25,1147.8,1148.0,1147.3,1147.9,136,236
01/04/2016,02:30,1147.9,1148.2,1147.8,1147.9,99,78
01/04/2016,02:35,1147.9,1148.2,1147.7,1148.1,124,29
01/04/2016,02:40,1148.2,1148.5,1148.0,1148.1,167,106
01/04/2016,02:45,1148.1,1148.3,1148.0,1148.1,67,88
01/04/2016,02:50,1148.1,1149.3,1148.0,1149.0,379,213
01/04/2016,02:55,1149.0,1152.0,1148.9,1150.3,914,582
01/04/2016,03:00,1150.3,1150.6,1149.4,1150.1,266,278
01/04/2016,03:05,1150.1,1150.5,1149.7,1149.7,188,263
01/04/2016,03:10,1149.6,1150.0,1149.3,1149.6,239,301
01/04/2016,03:15,1149.7,1150.2,1149.6,1150.1,209,139
01/04/2016,03:20,1150.1,1151.2,1150.0,1150.7,441,231
01/04/2016,03:25,1150.7,1151.5,1150.6,1151.1,329,308
01/04/2016,03:30,1151.2,1151.5,1150.8,1151.3,213,239
01/04/2016,03:35,1151.4,1153.0,1151.4,1151.5,949,792
01/04/2016,03:40,1151.6,1152.0,1151.3,1151.8,274,174
01/04/2016,03:45,1151.9,1152.3,1151.2,1151.8,344,345
01/04/2016,03:50,1151.8,1152.2,1151.7,1151.7,137,187
01/04/2016,03:55,1151.7,1152.1,1151.3,1152.0,205,221
01/04/2016,04:00,1152.0,1152.0,1151.1,1151.6,144,233
01/04/2016,04:05,1151.5,1151.9,1151.4,1151.5,88,117
01/04/2016,04:10,1151.4,1151.5,1150.9,1151.3,147,198
01/04/2016,04:15,1151.3,1151.9,1151.3,1151.8,243,86
01/04/2016,04:20,1151.8,1151.9,1151.0,1151.2,109,174
01/04/2016,04:25,1151.2,1151.5,1151.1,1151.5,84,56
01/04/2016,04:30,1151.5,1151.5,1150.3,1150.4,167,448
01/04/2016,04:35,1150.3,1150.8,1150.2,1150.7,133,84
01/04/2016,04:40,1150.8,1151.2,1150.8,1151.1,189,70
01/04/2016,04:45,1151.1,1151.9,1151.1,1151.5,256,183
01/04/2016,04:50,1151.5,1151.8,1151.3,1151.6,172,97
01/04/2016,04:55,1151.6,1151.8,1151.5,1151.8,66,58
01/04/2016,05:00,1151.8,1152.7,1151.8,1152.6,325,186
01/04/2016,05:05,1152.6,1152.8,1152.2,1152.7,163,175
01/04/2016,05:10,1152.6,1152.9,1152.0,1152.3,110,187
01/04/2016,05:15,1152.3,1152.6,1152.1,1152.3,159,140
01/04/2016,05:20,1152.3,1152.6,1152.0,1152.3,109,172
01/04/2016,05:25,1152.3,1152.5,1152.0,1152.1,76,173
01/04/2016,05:30,1152.1,1152.2,1151.7,1152.1,98,144
01/04/2016,05:35,1152.1,1152.2,1151.5,1151.7,129,207
01/04/2016,05:40,1151.8,1151.8,1151.5,1151.7,89,36
01/04/2016,05:45,1151.6,1152.1,1151.6,1151.8,125,104
01/04/2016,05:50,1151.7,1152.3,1151.5,1152.2,136,125
01/04/2016,05:55,1152.2,1152.5,1151.4,1151.5,157,283
01/04/2016,06:00,1151.6,1151.7,1151.4,1151.7,74,47
01/04/2016,06:05,1151.6,1151.8,1150.9,1151.3,177,229
01/04/2016,06:10,1151.3,1151.8,1151.2,1151.7,142,64
01/04/2016,06:15,1151.7,1152.4,1151.7,1152.4,182,51
01/04/2016,06:20,1152.3,1153.8,1152.3,1152.9,529,322
01/04/2016,06:25,1152.9,1153.3,1152.7,1152.7,97,220
01/04/2016,06:30,1152.8,1153.5,1152.8,1153.4,167,84
01/04/2016,06:35,1153.3,1153.5,1152.9,1153.4,235,213
01/04/2016,06:40,1153.4,1153.6,1153.1,1153.2,91,112
01/04/2016,06:45,1153.1,1153.5,1152.8,1152.9,69,178
01/04/2016,06:50,1152.9,1152.9,1149.3,1150.3,661,1247
